Total_Children,Available_Caregivers,Shelter_Capacity,Emergency_Cases,Average_Stay_Days,Budget,Region,Age_Group,Care_Load
86,13,254,0,56,325314,West,Teen,Low
213,64,95,39,53,416395,East,Teen,High
181,19,170,33,104,329986,West,Teen,High
276,61,218,33,130,417843,East,Child,High
91,73,187,32,122,469283,South,Teen,Low
106,26,127,3,58,380852,North,Teen,Low
281,68,187,37,123,494838,South,Teen,High
233,45,275,29,137,86195,North,Child,High
172,75,265,19,141,178138,East,Child,Low
229,60,62,25,166,483782,South,Teen,Medium
80,27,270,14,102,57736,North,Child,Low
287,29,304,6,40,98258,East,Teen,High
281,10,100,6,152,408948,South,Teen,High
237,38,342,28,85,355619,South,Teen,High
155,67,245,22,89,94511,South,Child,Low
112,13,108,33,87,316350,South,Teen,Medium
128,64,198,19,67,429032,West,Teen,Low
260,53,327,14,71,69348,East,Child,Medium
161,55,209,32,162,106057,West,Child,Medium
256,64,145,16,7,217153,East,Teen,Medium
196,74,289,19,46,425503,East,Teen,Medium
160,41,289,12,28,167615,East,Child,Medium
208,35,34,23,48,468070,North,Child,High
68,45,326,36,133,330176,East,Child,Medium
209,66,137,6,119,366823,South,Teen,Low
155,62,146,7,40,309246,West,Teen,Low
62,18,42,22,42,210344,South,Child,Low
109,40,171,13,176,419798,South,Child,Low
264,40,217,3,86,287560,West,Teen,Medium
211,12,310,20,179,164169,South,Child,High
125,30,144,9,33,347253,North,Teen,Low
252,40,265,21,45,100670,South,Teen,High
284,52,39,29,92,362166,South,Teen,High
56,32,228,29,52,448754,West,Child,Low
60,72,281,15,118,94237,South,Teen,Low
36,66,79,10,26,190605,West,Child,Low
296,55,171,21,103,321507,East,Child,High
78,46,300,28,21,258872,East,Child,Low
202,33,45,24,90,96304,North,Child,High
60,14,31,13,137,296888,West,Teen,Low
58,43,187,13,65,61819,West,Teen,Low
211,5,59,1,93,62191,West,Teen,Medium
286,43,111,12,138,56499,North,Child,High
166,25,60,2,85,113001,North,Teen,Medium
146,69,265,29,99,160383,South,Teen,Medium
65,19,177,17,149,67668,West,Teen,Low
64,8,206,35,63,189834,North,Teen,Medium
20,64,64,20,171,408972,East,Child,Low
187,65,52,18,58,200320,East,Child,Medium
127,24,135,15,130,416493,West,Teen,Medium
38,14,126,27,169,226016,East,Child,Low
91,38,259,3,52,257941,South,Child,Low
128,52,256,14,72,428809,South,Child,Low
287,37,129,0,111,311566,West,Teen,Medium
259,65,84,15,82,408332,North,Teen,Medium
109,14,224,19,81,156942,North,Child,Medium
122,58,37,32,31,63070,North,Child,Medium
269,69,344,16,92,141392,North,Child,Medium
27,5,157,4,159,147164,West,Child,Low
172,9,61,4,76,218879,South,Teen,Medium
193,19,122,38,51,401103,West,Child,High
177,32,36,12,107,491249,West,Teen,Medium
234,27,287,35,25,468428,East,Child,High
196,21,249,29,119,151277,South,Teen,High
194,17,269,3,61,54626,North,Child,Medium
165,18,135,22,109,99270,South,Teen,Medium
180,15,65,20,99,352911,East,Teen,High
146,32,74,20,174,373649,West,Child,Medium
101,46,327,5,114,52292,South,Child,Low
166,65,338,23,31,428936,East,Teen,Medium
258,68,38,30,132,327003,West,Teen,High
103,35,116,18,165,473801,North,Child,Low
132,77,206,37,80,447035,South,Child,Medium
244,14,159,11,39,160986,North,Child,High
262,12,224,13,102,51280,North,Child,High
162,25,40,11,148,195219,East,Teen,Medium
60,63,335,14,40,266424,East,Teen,Low
277,54,151,18,70,296522,West,Teen,High
124,73,264,27,60,248237,North,Child,Low
221,74,60,39,149,320778,East,Child,High
285,34,253,4,152,380694,East,Child,High
229,21,182,4,98,191845,North,Teen,Medium
70,79,241,5,110,198953,West,Child,Low
137,24,121,22,88,189352,North,Teen,Medium
220,52,158,2,140,109593,West,Child,Medium
58,77,226,36,150,206627,West,Teen,Low
47,6,71,32,22,353565,East,Teen,Medium
278,41,257,20,150,135472,North,Teen,High
103,5,223,19,129,208404,North,Child,Medium
174,8,47,0,6,356732,East,Child,Medium
136,58,272,38,80,404757,South,Child,Medium
21,29,305,16,142,450853,South,Child,Low
112,7,156,28,146,140491,North,Teen,Medium
185,13,104,7,30,136416,East,Teen,Medium
277,78,91,25,51,358302,West,Child,High
100,38,317,27,34,103798,West,Child,Medium
287,47,215,33,60,495351,North,Child,High
254,78,207,25,123,197227,East,Child,Medium
232,26,195,12,174,489681,North,Teen,High
81,74,212,36,136,360225,North,Child,Low
68,6,57,12,143,368100,East,Teen,Low
146,70,276,37,156,352422,North,Teen,Medium
242,36,51,24,169,118486,West,Teen,High
298,20,125,22,134,234764,South,Child,High
296,5,151,21,144,359299,West,Child,High
126,76,279,20,25,139338,South,Child,Low
165,52,337,29,72,187135,East,Child,Medium
118,54,166,10,130,391885,North,Teen,Low
92,17,306,3,47,94690,South,Child,Low
141,19,349,32,104,439448,East,Teen,High
49,57,90,11,127,207579,East,Child,Low
207,48,279,8,97,57661,East,Teen,Medium
214,12,124,31,144,217261,West,Teen,High
175,78,325,10,133,281366,West,Teen,Low
191,50,213,36,165,194129,South,Child,High
60,73,289,23,120,266848,South,Teen,Low
82,23,316,6,119,411930,West,Teen,Low
42,42,184,7,146,478529,South,Child,Low
94,15,215,32,123,349132,South,Teen,Medium
67,47,98,24,97,193563,North,Child,Low
179,24,290,0,146,372303,South,Child,Medium
137,24,144,2,13,345554,East,Teen,Low
119,25,37,39,77,391012,North,Teen,High
186,61,294,27,30,243101,South,Child,Medium
175,54,300,32,110,84354,North,Teen,Medium
26,78,278,0,149,396473,East,Child,Low
215,30,134,37,72,56504,South,Child,High
75,34,292,26,114,406105,North,Teen,Low
212,77,253,37,135,341955,South,Child,Medium
66,35,300,34,29,492422,North,Teen,Medium
167,46,194,9,25,329369,North,Teen,Low
294,72,112,11,144,277581,East,Child,Medium
176,65,324,9,58,152891,East,Teen,Low
221,65,163,33,5,304936,South,Teen,High
145,74,240,23,132,142732,West,Teen,Low
83,72,342,27,5,200362,South,Teen,Low
195,21,121,21,177,300848,North,Teen,High
135,23,156,15,178,256732,East,Teen,Medium
223,55,220,12,139,285358,East,Child,Medium
50,74,188,35,14,314416,North,Teen,Low
132,67,39,35,147,187213,West,Child,Medium
86,79,136,22,44,377124,East,Child,Low
94,34,116,13,143,369311,West,Teen,Low
64,29,96,31,178,467894,East,Teen,Medium
279,79,91,2,49,386841,North,Child,Medium
173,75,175,26,91,182143,South,Child,Medium
174,30,182,18,145,198192,South,Teen,Medium
253,60,136,21,31,141477,West,Child,Medium
70,26,177,0,54,285752,South,Child,Low
281,23,215,4,65,205205,North,Teen,High
144,35,207,32,17,446846,South,Child,Medium
264,30,295,18,144,377907,West,Child,High
49,46,178,35,161,163646,North,Teen,Low
141,45,276,5,89,391688,North,Teen,Low
144,27,283,14,88,235935,East,Teen,Medium
56,51,58,35,24,498524,East,Teen,Low
189,17,295,32,35,332098,South,Child,High
143,70,42,23,12,435468,West,Child,Low
54,70,76,26,28,418441,North,Child,Low
106,20,180,10,171,392355,South,Child,Low
153,77,79,22,37,374931,South,Child,Low
215,32,244,32,46,182691,East,Teen,High
293,39,161,28,147,390565,South,Child,High
220,45,142,30,164,248812,South,Child,High
96,35,281,0,143,127230,East,Teen,Low
78,36,82,33,98,160122,South,Child,Medium
145,58,159,17,41,221414,South,Child,Low
128,76,222,17,151,452589,North,Teen,Low
243,63,108,5,38,323592,South,Teen,Medium
297,45,86,39,57,493165,East,Child,High
87,70,126,0,144,212282,East,Teen,Low
88,58,227,29,100,468626,North,Child,Low
184,44,164,3,109,246119,East,Child,Low
181,32,176,31,52,305984,East,Teen,High
61,41,201,9,44,472244,East,Child,Low
128,69,92,4,156,249372,South,Teen,Low
70,78,94,8,92,355513,North,Teen,Low
269,59,324,4,47,245807,West,Child,Medium
40,8,240,10,21,430516,North,Child,Low
158,14,138,34,106,323611,North,Teen,High
111,51,311,26,166,189271,North,Teen,Low
299,79,201,3,115,77095,West,Teen,Medium
144,18,41,9,74,158715,West,Teen,Medium
130,42,249,38,64,279071,East,Child,Medium
158,16,315,32,81,351151,South,Teen,High
292,49,201,37,39,310769,East,Child,High
118,21,265,7,166,168562,East,Teen,Low
271,39,195,23,20,490927,West,Teen,High
123,70,216,38,150,325761,East,Child,Medium
233,79,199,32,42,78304,East,Child,Medium
268,45,81,18,175,146729,West,Teen,High
171,71,348,1,36,236293,North,Child,Low
269,33,218,10,11,258171,North,Child,High
294,22,149,34,50,121120,West,Child,High
184,24,134,16,22,124341,South,Child,Medium
27,18,191,2,75,402944,East,Teen,Low
24,38,324,21,44,124625,North,Child,Low
164,53,70,34,92,456855,West,Teen,Medium
120,58,194,20,82,205757,South,Teen,Low
183,35,189,24,9,115416,East,Teen,Medium
166,62,293,38,90,163792,West,Teen,Medium
83,46,47,1,26,110356,West,Child,Low
110,62,202,0,78,323254,West,Teen,Low
136,34,62,6,94,149464,East,Teen,Low
286,29,290,19,83,291549,North,Child,High
192,67,239,5,170,495978,East,Child,Low
66,23,193,35,123,202200,East,Child,Medium
159,76,34,20,133,155635,North,Teen,Low
265,12,63,34,82,64684,West,Child,High
168,7,309,35,40,494371,South,Teen,High
265,71,174,7,99,163102,South,Teen,Medium
24,21,100,3,32,336563,North,Teen,Low
203,18,259,15,102,309714,North,Child,High
39,13,154,2,39,182599,West,Teen,Low
65,66,307,6,66,458436,South,Teen,Low
31,25,300,1,91,466918,South,Child,Low
89,41,44,0,178,420553,West,Teen,Low
36,15,271,0,112,308293,North,Child,Low
166,24,182,37,129,77757,North,Child,High
173,39,82,6,83,358808,West,Child,Low
127,57,178,23,129,259693,North,Child,Low
255,51,248,4,65,438370,East,Child,Medium
89,79,142,20,30,327349,North,Child,Low
202,56,317,27,167,300929,East,Teen,Medium
269,12,306,17,61,372351,South,Child,High
247,8,112,23,136,70994,South,Teen,High
121,31,247,31,46,171409,North,Teen,Medium
94,48,255,32,177,304457,West,Teen,Medium
235,44,299,9,171,136170,North,Teen,Medium
222,51,44,8,26,158502,West,Child,Medium
211,48,319,32,143,80569,South,Teen,High
268,52,294,32,169,407855,South,Child,High
261,56,228,6,94,160702,South,Teen,Medium
198,72,187,3,62,318770,West,Child,Low
238,15,236,27,11,151159,West,Child,High
101,77,203,22,140,53964,South,Teen,Low
111,8,213,31,55,303695,North,Child,Medium
194,77,294,15,155,490593,West,Child,Low
258,52,275,9,94,424938,East,Child,Medium
279,30,65,13,112,330202,South,Child,High
182,43,288,38,13,272374,West,Teen,High
67,62,48,35,178,292706,South,Teen,Low
135,23,52,33,42,216232,East,Teen,High
244,62,133,23,115,197334,North,Teen,Medium
166,32,270,17,17,417326,East,Child,Medium
82,70,233,15,11,294280,North,Teen,Low
32,14,282,36,143,275573,North,Teen,Medium
208,62,171,24,71,191956,West,Child,Medium
227,77,331,7,45,309533,North,Child,Low
133,18,172,23,161,54433,North,Teen,Medium
41,19,300,19,169,395891,North,Teen,Low
233,37,336,29,20,388371,South,Teen,High
190,21,139,19,48,343207,West,Child,High
73,28,37,17,54,345628,West,Teen,Low
145,34,98,3,138,398924,North,Child,Low
296,66,219,35,22,140196,South,Child,High
223,17,208,5,151,479752,North,Teen,Medium
213,66,92,2,55,342228,West,Child,Low
188,51,97,17,7,164455,West,Child,Medium
171,20,235,39,93,336946,West,Teen,High
54,70,35,17,58,299117,West,Child,Low
203,47,148,22,53,288875,South,Child,Medium
76,12,342,34,32,107012,East,Child,Medium
241,7,60,5,42,164610,East,Teen,High
182,16,35,25,32,299964,South,Child,High
38,20,236,20,36,463830,North,Child,Low
283,63,186,23,45,382066,West,Child,High
132,53,96,14,40,258758,West,Teen,Low
49,67,318,26,107,58157,West,Teen,Low
154,66,169,31,40,98742,South,Teen,Medium
86,53,329,11,111,277016,South,Teen,Low
84,55,42,4,130,57675,West,Teen,Low
44,37,181,6,91,338372,West,Teen,Low
56,34,342,21,70,330395,North,Teen,Low
20,63,138,26,142,73349,East,Child,Low
56,19,178,14,74,179417,South,Child,Low
160,27,233,38,83,361322,East,Teen,High
251,49,336,34,97,393506,West,Teen,High
155,66,50,25,96,301916,East,Teen,Medium
207,75,89,22,26,292217,East,Child,Medium
147,19,50,12,24,255732,South,Child,Medium
220,50,274,25,37,187660,South,Child,Medium
146,68,102,2,147,146479,North,Child,Low
276,50,105,28,139,295198,West,Teen,High
183,60,215,1,94,179044,North,Child,Low
54,48,107,27,54,137687,South,Child,Low
213,79,94,22,14,178325,North,Child,Medium
210,33,319,35,83,113196,East,Teen,High
123,66,85,5,41,82400,East,Teen,Low
42,56,288,10,63,325680,South,Teen,Low
284,58,219,37,92,445916,East,Child,High
279,61,35,33,108,272682,West,Child,High
94,70,35,16,67,458331,South,Child,Low
91,26,220,2,25,234001,West,Teen,Low
278,24,177,33,108,226585,South,Teen,High
207,37,287,21,83,134607,South,Child,Medium
192,76,247,28,41,88100,East,Child,Medium
64,29,119,28,49,269798,South,Teen,Low
80,50,341,4,146,464656,South,Child,Low
102,77,39,9,47,272688,North,Child,Low
142,61,116,9,120,82947,East,Child,Low
35,9,279,8,89,385676,West,Teen,Low
85,59,180,20,88,290153,South,Teen,Low
164,65,142,12,165,392542,West,Teen,Low
181,12,59,9,7,109413,North,Teen,Medium
253,20,157,37,108,284840,South,Teen,High
163,52,107,10,91,466320,West,Teen,Low
207,65,84,3,176,308810,East,Teen,Low
32,19,334,30,115,394985,North,Teen,Low
203,69,63,33,91,85860,North,Teen,Medium
130,26,134,34,95,436534,West,Child,Medium
234,7,201,38,39,63727,South,Child,High
139,58,51,38,157,276575,South,Child,Medium
74,18,316,32,100,401529,East,Child,Medium
46,40,134,7,90,445935,East,Teen,Low
137,71,178,31,140,303873,South,Child,Low
240,14,301,32,120,425915,North,Child,High
250,53,305,7,150,193996,East,Child,Medium
72,69,328,13,96,321359,East,Teen,Low
252,61,201,33,160,295911,North,Child,High
177,31,76,7,144,140124,South,Child,Medium
288,79,143,6,6,140826,West,Child,Medium
40,9,304,12,169,110494,East,Teen,Low
72,75,333,20,128,229081,North,Child,Low
294,61,236,31,8,397689,East,Teen,High
233,19,271,10,173,475128,North,Teen,High
50,34,330,13,177,304200,East,Child,Low
202,24,225,10,113,313288,South,Teen,Medium
42,41,193,1,115,431314,North,Teen,Low
51,7,205,33,38,480518,West,Child,Medium
93,77,300,16,91,176223,West,Teen,Low
29,45,139,13,17,392315,East,Child,Low
73,43,201,24,11,280096,West,Child,Low
71,30,231,26,36,496936,East,Child,Low
167,6,197,7,27,430061,North,Teen,Medium
179,27,131,16,51,431560,North,Child,Medium
33,27,115,4,169,258098,West,Child,Low
197,20,171,11,33,208116,West,Child,Medium
72,13,242,37,169,253707,South,Teen,Medium
41,17,80,17,27,291687,North,Child,Low
49,32,141,25,42,168501,West,Teen,Low
210,31,300,30,131,50537,West,Teen,High
279,55,94,36,48,164233,West,Child,High
224,68,212,5,9,126552,East,Teen,Low
78,56,39,14,44,347597,South,Child,Low
283,42,263,25,143,51980,North,Teen,High
31,69,327,11,82,383586,West,Child,Low
138,22,273,13,110,214379,West,Child,Medium
267,67,296,0,134,138966,West,Teen,Medium
146,55,147,16,167,225916,East,Child,Low
94,13,173,32,177,209701,North,Child,Medium
223,17,230,28,53,470991,West,Teen,High
68,44,268,30,127,483245,West,Teen,Low
98,59,275,7,39,145934,East,Teen,Low
260,47,37,29,110,242932,East,Teen,High
173,48,181,12,76,245855,South,Teen,Medium
293,72,240,15,164,304435,South,Child,Medium
115,37,187,1,113,91988,North,Child,Low
233,28,87,17,129,498668,South,Child,High
228,40,115,34,75,181123,North,Teen,High
107,14,84,18,43,336962,South,Teen,Medium
283,24,230,12,95,444902,West,Child,High
176,79,151,3,41,462421,South,Teen,Low
175,16,137,18,85,303880,West,Child,Medium
158,66,333,24,136,451312,North,Child,Medium
140,22,161,37,27,158336,South,Teen,High
84,67,227,30,146,224159,South,Teen,Low
126,29,76,35,9,435718,South,Teen,Medium
166,16,257,3,114,320689,West,Teen,Medium
156,25,274,38,156,283066,West,Teen,High
181,29,232,6,22,428521,South,Teen,Medium
119,15,290,15,31,320628,North,Child,Medium
160,68,207,4,28,335811,West,Teen,Low
102,77,53,22,33,120111,East,Child,Low
196,54,204,35,143,311407,North,Child,High
217,66,303,31,150,136492,North,Child,Medium
131,53,290,23,127,177000,North,Teen,Low
75,18,315,24,132,126206,West,Child,Medium
198,5,30,27,116,196709,South,Teen,High
205,29,115,18,121,142476,South,Teen,Medium
237,63,98,6,136,148941,East,Teen,Medium
236,76,60,16,37,352891,South,Teen,Medium
139,73,227,1,46,371893,East,Teen,Low
194,9,120,15,164,321635,East,Child,High
42,23,45,38,129,365244,South,Teen,Medium
232,27,339,17,8,173569,East,Child,High
254,13,305,38,24,455847,North,Teen,High
32,54,191,0,72,208254,North,Teen,Low
120,20,221,2,62,58903,North,Teen,Low
43,37,180,20,179,404866,West,Child,Low
30,6,142,29,84,369926,East,Child,Medium
292,18,302,10,138,127261,East,Child,High
113,5,205,21,99,389750,North,Child,Medium
220,62,178,24,172,348253,West,Teen,Medium
40,20,207,2,155,131604,South,Teen,Low
230,51,252,29,8,121086,North,Child,High
159,48,288,23,169,241508,West,Child,Medium
120,18,302,35,174,199239,South,Child,High
47,28,218,22,48,75443,West,Child,Low
60,59,335,7,129,261296,South,Teen,Low
165,19,119,3,46,493856,East,Teen,Medium
275,76,291,38,33,165155,East,Teen,High
246,38,185,30,151,180560,West,Child,High
255,6,229,28,164,210620,West,Child,High
32,31,84,35,48,258721,South,Teen,Low
229,78,283,12,59,374502,West,Child,Medium
248,76,202,8,84,399969,West,Child,Medium
119,27,229,20,137,199232,South,Child,Medium
50,72,131,2,117,411529,South,Teen,Low
35,18,314,24,178,489421,East,Child,Low
156,67,180,24,177,374424,North,Teen,Low
185,69,140,11,25,348996,West,Child,Low
119,72,295,28,82,357165,South,Child,Low
128,67,120,10,154,418076,East,Teen,Low
192,68,206,10,34,56195,North,Teen,Low
256,36,260,25,27,247619,West,Teen,High
181,17,58,13,9,467502,East,Teen,Medium
235,70,330,15,67,476797,North,Child,Medium
283,23,224,9,63,127674,West,Child,High
282,28,336,30,86,338863,East,Teen,High
293,15,268,30,56,410720,West,Teen,High
22,63,296,35,69,360594,North,Child,Low
47,19,243,9,43,332172,South,Child,Low
168,14,111,25,7,66192,East,Child,High
47,45,157,19,174,133636,North,Teen,Low
84,31,291,8,75,121812,West,Teen,Low
40,64,96,14,159,77551,North,Child,Low
271,77,91,8,160,170920,North,Teen,Medium
254,56,162,6,19,245383,South,Child,Medium
246,32,166,25,76,111444,East,Teen,High
32,69,57,23,74,214196,North,Teen,Low
68,21,240,11,8,325798,South,Child,Low
137,48,234,19,98,50203,South,Child,Low
73,14,282,13,149,201201,South,Teen,Low
157,67,67,21,38,166284,West,Child,Low
72,51,72,15,128,384294,South,Teen,Low
63,42,146,28,138,294175,South,Child,Low
72,74,219,31,40,214336,South,Child,Low
93,57,75,18,103,456205,South,Teen,Low
65,48,195,34,171,439956,East,Child,Low
32,78,334,31,84,230286,East,Teen,Low
184,58,232,19,70,238955,South,Teen,Medium
121,24,262,39,140,496661,North,Teen,High
299,35,274,19,147,251484,West,Teen,High
277,11,238,7,95,418298,North,Child,High
157,62,277,34,84,250733,North,Teen,Medium
182,14,324,12,63,448544,South,Teen,Medium
130,14,187,5,14,440206,North,Teen,Medium
121,43,30,15,11,230040,East,Child,Low
36,32,246,4,116,223112,East,Teen,Low
287,34,278,33,80,371343,West,Teen,High
201,41,98,5,16,369183,East,Child,Medium
43,71,59,32,83,389376,East,Teen,Low
48,47,144,14,50,151683,South,Teen,Low
190,56,37,14,36,100750,East,Child,Medium
247,60,304,13,164,66119,North,Teen,Medium
207,72,344,38,119,336161,North,Teen,Medium
249,13,65,4,118,229852,East,Child,High
138,27,340,25,130,207276,West,Child,Medium
175,67,73,16,94,462778,West,Child,Low
291,65,184,15,65,467644,West,Teen,High
194,44,106,34,65,306599,East,Teen,High
123,48,107,37,106,71497,West,Child,Medium
111,28,130,22,118,315516,East,Teen,Medium
205,55,59,12,178,138683,North,Child,Medium
200,62,68,32,96,329597,West,Teen,Medium
189,37,268,28,133,162716,West,Child,High
206,20,42,33,111,364072,West,Child,High
194,26,151,33,53,346104,North,Child,High
241,61,173,26,29,67197,East,Teen,High
252,66,201,14,20,149456,North,Child,Medium
181,75,276,8,145,236056,North,Child,Low
153,76,276,25,112,182955,South,Teen,Low
243,74,74,2,168,328795,West,Child,Low
172,34,282,35,48,52812,East,Teen,High
52,27,320,4,87,145981,East,Child,Low
74,36,236,19,51,292248,South,Child,Low
26,61,36,19,128,318706,South,Child,Low
263,13,271,4,84,309232,North,Child,High
145,35,139,9,80,382857,South,Child,Low
31,75,143,15,24,332613,East,Child,Low
35,13,336,24,150,230607,East,Child,Low
227,17,331,24,16,429682,East,Teen,High
62,62,305,29,116,146765,North,Child,Low
154,7,125,13,157,405667,West,Teen,Medium
247,39,323,21,64,138641,West,Teen,High
130,25,218,27,79,270075,North,Teen,Medium
179,68,317,29,114,132969,East,Teen,Medium
283,56,183,18,38,330361,East,Teen,High
244,38,87,37,145,146844,North,Teen,High
236,39,79,19,170,190061,North,Child,High
64,19,236,34,144,218307,South,Child,Medium
233,10,81,21,40,134895,North,Child,High
78,36,179,14,32,251763,West,Child,Low
151,56,82,10,43,237922,North,Child,Low
123,32,242,33,81,293512,East,Teen,Medium
214,68,95,23,175,231514,East,Teen,Medium
176,23,261,5,108,385641,East,Teen,Medium
117,19,328,16,95,205055,West,Child,Medium
245,10,180,27,119,319330,West,Child,High
224,77,234,30,163,450722,South,Child,Medium
98,42,349,35,6,484242,North,Child,Medium
143,30,284,8,121,227142,South,Teen,Low
237,55,166,9,86,230023,North,Teen,Medium
23,77,164,20,94,407905,North,Child,Low
109,57,83,33,46,174272,West,Teen,Medium
123,60,94,30,35,319935,East,Child,Medium
138,63,31,28,65,242407,North,Child,Medium
152,74,161,10,106,143133,West,Child,Low
115,62,61,32,60,122306,South,Teen,Low
162,17,272,0,87,322037,East,Teen,Medium
47,47,221,20,132,206226,South,Teen,Low
297,55,171,22,18,139854,South,Child,High
252,23,177,8,18,493973,West,Child,High
36,25,118,0,161,242459,East,Child,Low
78,28,78,20,54,221827,North,Teen,Low
109,30,165,21,105,417613,South,Child,Medium
218,49,220,3,72,456730,North,Child,Medium
45,32,178,0,75,474574,East,Teen,Low
44,33,116,9,15,269046,West,Child,Low
286,21,37,14,18,437002,West,Teen,High
200,72,252,35,110,152809,West,Teen,Medium
87,48,45,28,108,73631,North,Child,Low
68,65,325,4,135,317951,North,Child,Low
194,72,135,28,132,306622,East,Child,Medium
71,78,312,26,12,180184,North,Child,Low
121,29,133,24,175,61908,West,Teen,Medium
235,71,175,15,141,205507,South,Teen,Medium
207,6,64,15,23,308887,South,Teen,High
76,53,142,35,144,111716,South,Teen,Low
66,74,337,24,159,80432,West,Teen,Low
178,30,82,0,116,150458,North,Teen,Low
193,76,110,4,62,221582,South,Teen,Low
261,31,133,19,29,457443,North,Child,High
260,22,271,4,49,265796,North,Child,High
24,58,60,35,106,199676,West,Child,Low
103,5,346,28,52,406245,North,Child,Medium
267,65,221,33,54,419638,North,Child,High
73,7,262,17,85,278682,West,Child,Medium
180,72,127,1,48,263713,East,Teen,Low
245,45,63,15,63,75790,South,Child,Medium
34,41,272,28,165,305645,South,Child,Low
243,55,88,32,107,474160,North,Teen,High
80,19,288,15,82,465403,East,Teen,Low
141,12,46,34,160,233618,West,Child,High
296,42,107,16,22,447241,North,Teen,High
65,60,235,3,165,205584,West,Child,Low
81,51,331,3,120,459123,South,Teen,Low
105,14,195,24,110,350068,West,Child,Medium
229,53,320,32,147,97196,South,Child,High
97,45,141,13,15,457626,West,Child,Low
221,34,346,23,168,224835,West,Teen,High
242,9,174,10,147,415260,East,Teen,High
241,75,185,24,66,189722,West,Child,Medium
22,35,207,27,52,360970,North,Teen,Low
25,56,165,6,98,469493,East,Teen,Low
112,27,344,35,147,370114,North,Child,Medium
27,52,47,9,91,183528,West,Child,Low
254,44,184,35,175,459806,West,Teen,High
127,10,301,30,54,340036,East,Teen,High
180,42,295,18,64,329884,South,Child,Medium
228,45,45,17,63,226800,East,Teen,Medium
259,31,41,5,19,323932,South,Teen,Medium
69,79,104,27,33,401525,South,Teen,Low
30,73,241,6,44,253764,West,Child,Low
175,61,208,37,35,424713,North,Teen,Medium
89,21,158,11,77,189223,East,Teen,Low
188,75,312,33,15,338659,East,Child,Medium
291,51,224,24,85,192059,West,Teen,High
87,17,297,16,66,259168,West,Child,Low
271,15,59,32,140,367818,East,Child,High
67,28,38,22,55,249281,East,Child,Low
203,77,338,8,61,359911,North,Child,Low
206,8,339,5,136,165737,West,Child,Medium
109,50,194,1,168,253431,North,Child,Low
158,22,222,37,151,351788,West,Teen,High
108,47,334,8,28,350885,West,Child,Low
293,37,289,2,45,377265,North,Teen,High
38,14,221,15,53,254890,South,Child,Low
173,77,108,24,178,484651,South,Child,Low
279,63,208,23,40,451272,South,Teen,High
127,35,120,28,14,281422,West,Child,Medium
78,32,244,39,82,268299,North,Child,Medium
144,64,108,25,139,275209,South,Child,Low
292,7,132,37,144,495634,East,Child,High
126,59,140,34,90,136549,South,Teen,Medium
264,18,343,22,169,478729,North,Child,High
266,62,276,3,168,336804,West,Child,Medium
27,19,263,13,64,52639,North,Child,Low
160,6,111,38,100,136856,West,Teen,High
27,28,161,6,12,384153,North,Child,Low
113,68,264,7,139,322766,North,Child,Low
58,75,307,18,111,168192,East,Teen,Low
100,28,128,1,175,330952,South,Child,Low
206,31,67,0,62,498852,South,Teen,Medium
103,41,190,37,85,442617,North,Teen,Medium
107,43,146,12,90,335095,South,Teen,Low
261,67,270,23,178,166909,East,Teen,Medium
112,30,55,31,38,247013,North,Teen,Medium
105,69,165,29,88,297889,South,Child,Low
63,8,79,5,121,226148,South,Child,Low
156,33,323,37,26,171522,West,Teen,High
93,5,327,32,153,458561,South,Child,Medium
55,54,322,22,19,181469,South,Child,Low
120,15,183,9,137,64665,West,Teen,Medium
175,78,249,14,106,64560,North,Teen,Low
274,63,169,22,149,338520,North,Child,High
190,66,78,35,151,463073,East,Child,Medium
235,40,171,0,9,245340,West,Teen,Medium
189,60,75,7,27,410186,North,Child,Low
271,25,192,2,87,420448,South,Teen,High
74,17,314,13,18,284365,South,Teen,Low
110,13,297,16,14,201382,South,Teen,Medium
297,15,145,33,35,330472,East,Child,High
120,79,111,5,145,222469,North,Teen,Low
174,74,73,4,131,219231,West,Teen,Low
160,5,223,39,154,432231,North,Teen,High
192,74,287,28,41,279598,West,Teen,Medium
29,60,302,34,171,493978,West,Teen,Low
247,35,303,17,142,254438,North,Child,High
284,41,307,39,35,240376,South,Child,High
267,51,112,29,175,98998,South,Child,High
266,51,87,14,103,431436,West,Teen,Medium
174,73,82,14,168,376997,South,Child,Low
53,62,30,15,39,152304,East,Teen,Low
148,40,245,32,115,462264,East,Child,Medium
179,36,346,9,72,362361,West,Child,Medium
108,68,257,18,121,489471,South,Teen,Low
112,75,283,36,130,239692,West,Child,Low
260,46,188,2,179,252001,East,Child,Medium
136,52,316,35,10,302862,East,Child,Medium
113,78,95,3,123,204957,East,Teen,Low
182,34,338,10,160,378283,North,Child,Medium
118,25,124,32,34,383975,East,Teen,Medium
132,64,282,27,159,484364,South,Teen,Low
110,17,179,31,73,57103,North,Teen,Medium
225,5,52,15,112,468467,East,Child,High
36,69,273,8,171,326690,South,Child,Low
293,37,244,10,39,305948,East,Teen,High
192,42,160,5,107,196528,South,Teen,Medium
135,29,177,26,48,330372,South,Child,Medium
200,30,138,11,147,312190,East,Child,Medium
110,63,69,21,164,378499,East,Child,Low
101,37,150,39,33,479791,North,Child,Medium
133,45,324,36,10,266014,East,Teen,Medium
276,34,149,20,31,444296,South,Child,High
